rowKey,year,Mean2011,Binteraction,SEinteraction,upper_limit,lower_limit
"E",0,.0996339,.0076434,.0190968,.0390577,-.0237708
"E",1,.1385983,.008507,.0166937,.0359682,-.0189542
"E",2,.1775628,.0100217,.0176477,.0390522,-.0190087
"E",3,.2358787,.0155316,.0175616,.0444204,-.0133571
"E",4,.2884414,.0272954,.0183681,.057511,-.0029202
"E",5,.352772,.0205808,.0171194,.0487423,-.0075806
"E",6,.4084728,.0164647,.0220547,.0527446,-.0198152
"E",7,.4450837,.0079319,.0191483,.0394309,-.0235671
"E",8,.4730648,.0307733,.0206732,.0647808,-.0032342
"E",9,.4911088,.0421617,.0260804,.085064,-.0007406
"E",10,.5088912,.0476338,.0283969,.0943467,.0009208
"E",11,.5154288,.0299542,.0217121,.0656706,-.0057621
"E",12,.5209205,.0280154,.0197193,.0604536,-.0044229
"E",13,.5251046,.0251248,.0190032,.056385,-.0061355
"A",0,.0141213,.005785,.0057083,.0151752,-.0036051
"A",1,.0235356,.0047164,.0069805,.0161993,-.0067666
"A",2,.0389644,.0076309,.0083326,.0213381,-.0060763
"A",3,.0656381,.0214853,.0125185,.0420782,.0008924
"A",4,.0915272,.0341459,.0171339,.0623312,.0059607
"A",5,.1205544,.043293,.0201981,.0765187,.0100672
"A",6,.1422594,.0431093,.0243986,.0832451,.0029735
"A",7,.1589958,.0379419,.0212622,.0729181,.0029656
"A",8,.1723326,.0531449,.0220793,.0894654,.0168244
"A",9,.1799163,.0542825,.0208595,.0885963,.0199686
"A",10,.1851464,.0526155,.0208844,.0869704,.0182606
"A",11,.1916841,.048917,.01958,.0811262,.0167078
"A",12,.1976987,.048403,.0187163,.0791913,.0176147
"A",13,.2005753,.0460132,.0187757,.0768992,.0151272
"B",0,.0036611,.0018163,.0020232,.0051444,-.0015118
"B",1,.0081067,.0040384,.0038848,.0104289,-.0023521
"B",2,.0138598,.0022809,.005864,.0119272,-.0073654
"B",3,.022751,.0034548,.0105545,.0208169,-.0139074
"B",4,.0347803,-.0064262,.0106144,.0110344,-.0238868
"B",5,.0551778,-.0099429,.0129428,.011348,-.0312338
"B",6,.0802824,-.0151954,.0138805,.007638,-.0380287
"B",7,.0941423,-.0310658,.0183535,-.0008743,-.0612574
"B",8,.1077406,-.0245589,.0186504,.006121,-.0552388
"B",9,.1189854,-.0137278,.0181604,.0161461,-.0436018
"B",10,.143567,-.0118071,.0197576,.020694,-.0443083
"B",11,.1487971,-.0240009,.0209235,.0104183,-.0584201
"B",12,.1540272,-.026032,.0193598,.0058148,-.0578789
"B",13,.1592573,-.0253437,.0193015,.0064073,-.0570947
"educ",0,.14409,.0346469,.0281887,.0810173,-.0117235
"educ",1,.2473849,.0198297,.028602,.0668799,-.0272206
"educ",2,.3334205,.034676,.0298263,.0837403,-.0143884
"educ",3,.4599895,.0583333,.0364516,.1182962,-.0016297
"educ",4,.6150628,.0884141,.0466261,.1651141,.0117142
"educ",5,.8164226,.1245689,.0598353,.2229979,.0261398
"educ",6,1.035303,.1425459,.0824881,.2782388,.0068529
"educ",7,1.234833,.1044246,.0808374,.2374022,-.0285529
"educ",8,1.423902,.1295891,.0770149,.2562786,.0028995
"educ",9,1.570607,.1498744,.0786299,.2792206,.0205282
"educ",10,1.70319,.1734367,.0880675,.3183077,.0285656
"educ",11,1.805962,.1801023,.0897529,.3277459,.0324588
"educ",12,1.879707,.1700762,.0891534,.3167335,.0234189
"educ",13,1.945868,.1836483,.0917664,.334604,.0326926
"uni",0,.0141213,.005785,.0057083,.0151752,-.0036051
"uni",1,.0358264,.0129519,.009862,.0291749,-.003271
"uni",2,.0713912,.0240277,.0147792,.0483395,-.0002841
"uni",3,.125,.0489201,.0219517,.0850307,.0128095
"uni",4,.1997908,.085172,.0346039,.1420954,.0282486
"uni",5,.291318,.1351259,.0482776,.2145426,.0557093
"uni",6,.3904289,.1865844,.0709854,.3033553,.0698135
"uni",7,.4785565,.1788333,.0791506,.309036,.0486306
"uni",8,.5672071,.2098372,.0863947,.3519564,.067718
"uni",9,.6310146,.2225959,.0874821,.366504,.0786878
"uni",10,.6851465,.2427334,.0893961,.3897901,.0956768
"uni",11,.7290795,.2491293,.0910441,.3988969,.0993617
"uni",12,.7625523,.2499455,.094234,.4049604,.0949305
"uni",13,.791318,.2615265,.1012493,.4280817,.0949714
"col",0,.0036611,.0018163,.0020232,.0051444,-.0015118
"col",1,.0107218,.0034524,.0053868,.0123137,-.0054089
"col",2,.0230126,.0048784,.0084543,.0187857,-.0090289
"col",3,.0426255,.010077,.0148334,.0344779,-.0143239
"col",4,.0679916,.0027119,.0184193,.0330117,-.0275879
"col",5,.1077406,-.0093208,.0228943,.0283404,-.046982
"col",6,.165272,-.0276971,.0268771,.0165158,-.0719099
"col",7,.2204498,-.0472977,.0333814,.0076147,-.1022102
"col",8,.2596757,-.064805,.0427606,.0055362,-.1351462
"col",9,.3007322,-.0665101,.0490354,.014153,-.1471733
"col",10,.3509414,-.0686674,.0504433,.0143118,-.1516466
"col",11,.3872908,-.0678247,.0526656,.0188102,-.1544597
"col",12,.4110879,-.0719647,.0520412,.013643,-.1575724
"col",13,.4333159,-.0677671,.0521752,.0180611,-.1535954
"sum_wage",0,8013.624,-344.0751,826.5307,1015.568,-1703.718
"sum_wage",1,6223.675,746.674,730.1624,1947.791,-454.4431
"sum_wage",2,7839.235,866.6965,606.8031,1864.888,-131.4946
"sum_wage",3,14500.19,-1560.618,1008.435,98.25813,-3219.494
"sum_wage",4,25185.64,-4682.425,2308.211,-885.4179,-8479.433
"sum_wage",5,32396.47,-4156.638,2314.643,-349.0507,-7964.225
"sum_wage",6,39378.64,-880.541,1694.928,1907.616,-3668.698
"sum_wage",7,44060.62,1853.179,1900.298,4979.169,-1272.811
"sum_wage",8,44117.98,3306.059,1958.288,6527.442,84.67574
"sum_wage",9,49837.3,4869.712,1756.725,7759.525,1979.9
"sum_wage",10,58603.47,3312.665,2718.517,7784.626,-1159.295
"sum_wage",11,63522.64,5851.451,2792.985,10445.91,1256.991
"work",0,.6935146,.0256465,.0252078,.0671135,-.0158204
"work",1,.4445607,.0795489,.031394,.1311921,.0279057
"work",2,.4657427,.0430097,.0208855,.0773664,.0086529
"work",3,.6315377,-.0242577,.0210073,.0102993,-.0588147
"work",4,.7771966,-.0122922,.0152619,.0128136,-.0373981
"work",5,.8328975,-.0099682,.0174186,.0186855,-.0386218
"work",6,.8498954,-.0050701,.0139535,.0178834,-.0280237
"work",7,.8679394,.0202511,.0143027,.043779,-.0032768
"work",8,.8237448,.0143587,.0180071,.0439804,-.0152629
"work",9,.8376046,.0235514,.0152757,.0486799,-.0015771
"work",10,.8514645,.0031643,.0125601,.0238257,-.0174972
"work",11,.8478034,.0104258,.0128932,.0316352,-.0107836
